Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,bxr,0.2588,16,45,0.0008403361344537,927,948,0.9778481012658228,0.6023336111441838,0.0925206033276318,30.36301626333194,0.9766,0.7323,0.7098,0.5641,0.6611,0.0679
pcm,kmr,0.2825,10,51,0.015126050420168,754,948,0.7953586497890295,0.3877346961448728,0.0925206033276318,10.18115992495738,0.9724,0.6713,0.6358,0.5114,0.5585,0.33
pcm,hsb,0.2642,13,48,0.0226890756302521,646,948,0.6814345991561181,0.5423194196193881,0.0925206033276318,23.6352229913148,0.9896,0.6142,0.6278,0.6502,0.6476,0.3552
pcm,kk,0.3111,7,54,0.0008403361344537,1078,948,1.1371308016877637,0.6191198786039454,0.0925206033276318,32.39541903109942,0.9819,0.5708,0.5529,0.2677,0.5219,0.0916
pcm,hy,0.2966,9,52,0.0008403361344537,564,948,0.5949367088607594,0.5479001354751306,0.0925206033276318,24.225352261142557,0.9744,0.6695,0.613,0.3862,0.5213,0.1744
pcm,swl,0.1052,43,18,0.0008403361344537,203,948,0.2141350210970464,0.4872907625542468,0.0925206033276318,18.205881906648266,0.9744,0.6189,0.5794,0.2677,0.4738,0.0596
pcm,lt,0.2967,8,53,0.0100840336134453,263,948,0.2774261603375527,0.5654157163591126,0.0925206033276318,26.12478588136606,0.9896,0.7209,0.6487,0.4467,0.5581,0.0307
pcm,be,0.0036,59,2,0.0008403361344537,393,948,0.4145569620253164,0.5525618374558304,0.0925206033276318,24.723878881548544,0.9819,0.6411,0.5887,0.3729,0.5617,0.1185
pcm,mr,0.2302,20,41,0.0016806722689075,466,948,0.4915611814345991,0.5290718671000361,0.0925206033276318,22.26350755500561,0.9896,0.5863,0.5537,0.409,0.4873,0.0724
pcm,cop,0.1381,35,26,0.0025210084033613,514,948,0.5421940928270043,0.4940717882085432,0.0925206033276318,18.836703907488364,0.9819,0.6819,0.6486,0.4646,0.5677,0.3642
pcm,ta,0.2806,11,50,0.0016806722689075,600,948,0.6329113924050633,0.5614149588826524,0.0925206033276318,25.6846171956668,0.9638,0.624,0.6055,0.3333,0.5662,0.0242
