Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
czec1258,russ1263,0.5804,0.4716,0.4249,0.0,0.4034,0.1549
czec1258,norw1258,0.8831,0.501,0.5555,0.4208,0.6169,0.0483
czec1258,stan1288,0.9248,0.4954,0.5141,0.3433,0.5431,0.0675
czec1258,kore1280,1.0,0.6705,0.639,0.6123,0.6216,0.3125
czec1258,esto1258,0.9744,0.5482,0.5038,0.195,0.4714,0.0506
czec1258,poli1260,0.4788,0.4737,0.4743,0.2677,0.4653,0.0137
czec1258,dutc1256,0.9131,0.4804,0.4748,0.3918,0.4427,0.0308
czec1258,port1283,0.9214,0.4923,0.4649,0.319,0.4431,0.0706
czec1258,lati1261,0.8831,0.4899,0.4598,0.3862,0.4714,0.0375
czec1258,stan1290,0.9248,0.5632,0.5153,0.4196,0.4713,0.0403
czec1258,stan1295,0.8934,0.501,0.5098,0.359,0.4728,0.0097
czec1258,hind1269,0.9014,0.5738,0.554,0.4196,0.5509,0.232
czec1258,stan1289,0.9176,0.5184,0.4885,0.2677,0.4663,0.0521
czec1258,ital1282,0.9131,0.4841,0.462,0.195,0.4371,0.0322
czec1258,stan1293,0.9131,0.6202,0.5987,0.319,0.5368,0.0481
czec1258,finn1318,1.0,0.5177,0.488,0.2677,0.4818,0.0724
czec1258,bulg1262,0.6667,0.5263,0.506,0.0,0.4507,0.0432
czec1258,slov1268,0.631,0.4016,0.4021,0.0,0.4204,0.0167
czec1258,slov1269,0.2677,0.7546,0.72,0.6082,0.6839,0.0126
czec1258,roma1327,0.9078,0.5227,0.4984,0.2677,0.4494,0.0321
czec1258,croa1245,0.6936,0.5633,0.5256,0.2048,0.3539,0.0221
czec1258,stan1318,1.0,0.6261,0.539,0.2871,0.4511,0.1391
czec1258,latv1249,0.6875,0.3937,0.3635,0.195,0.3427,0.0407
czec1258,hebr1245,1.0,0.543,0.5394,0.4477,0.5584,0.1085
czec1258,ukra1253,0.631,0.4256,0.3905,0.195,0.3804,0.029
czec1258,indo1316,1.0,0.6535,0.6168,0.3862,0.4724,0.391
czec1258,dani1285,0.8934,0.4888,0.4609,0.2677,0.4204,0.028
czec1258,swed1254,0.8934,0.5181,0.5311,0.319,0.573,0.0459
czec1258,mand1415,1.0,0.6584,0.6781,0.5273,0.6367,0.2837
russ1263,czec1258,0.5804,0.4716,0.4249,0.0,0.4034,0.1549
russ1263,norw1258,0.8564,0.4689,0.5461,0.4208,0.6556,0.149
russ1263,stan1288,0.9078,0.4743,0.5029,0.3433,0.5273,0.2163
russ1263,kore1280,1.0,0.5883,0.6162,0.6123,0.6511,0.1814
russ1263,esto1258,0.9791,0.4434,0.4723,0.195,0.5079,0.1182
russ1263,poli1260,0.5319,0.4765,0.4773,0.2677,0.4949,0.1425
russ1263,dutc1256,0.8934,0.5133,0.509,0.3918,0.5297,0.1739
russ1263,port1283,0.9037,0.4911,0.4781,0.319,0.47,0.219
