Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
beng1280,amha1245,1.0,0.5747,0.5573,0.4685,0.5472,0.2159
beng1280,stan1318,1.0,0.6755,0.6107,0.4498,0.5058,0.1836
beng1280,nort2697,1.0,0.5164,0.5294,0.4835,0.5986,0.1773
beng1280,stan1289,0.9237,0.6313,0.5777,0.3548,0.4961,0.3027
beng1280,cebu1242,1.0,0.727,0.6277,0.439,0.5158,0.1621
beng1280,cent1972,0.8155,0.7548,0.7895,0.8278,0.8499,0.1764
beng1280,stan1295,0.9014,0.5206,0.512,0.4246,0.5404,0.2744
beng1280,west2369,0.8155,0.6281,0.5719,0.4246,0.5182,0.1412
beng1280,stan1290,0.9304,0.6075,0.5447,0.33,0.4753,0.3001
beng1280,haus1257,1.0,0.6137,0.594,0.4513,0.5666,0.3228
beng1280,hind1269,0.718,0.5325,0.4479,0.33,0.3481,0.0542
beng1280,hung1274,1.0,0.5829,0.5506,0.439,0.5319,0.2566
beng1280,ilok1237,1.0,0.713,0.5891,0.4034,0.443,0.1355
beng1280,indo1316,1.0,0.6183,0.5767,0.3548,0.5144,0.1639
beng1280,ital1282,0.9196,0.624,0.6034,0.4034,0.5625,0.2771
beng1280,java1254,1.0,0.6502,0.5786,0.5114,0.4621,0.1428
beng1280,kaza1248,1.0,0.7048,0.6642,0.5922,0.5879,0.1213
beng1280,kiny1244,1.0,0.7015,0.6049,0.4835,0.5182,0.2729
beng1280,kirg1245,1.0,0.4854,0.4761,0.4246,0.5337,0.1014
beng1280,kurd1259,0.8003,0.6564,0.5768,0.3789,0.5666,0.1762
beng1280,laoo1244,1.0,0.6295,0.5948,0.3548,0.522,0.072
beng1280,mara1378,0.6936,0.3967,0.4222,0.4498,0.3908,0.0631
beng1280,malt1254,1.0,0.6213,0.6012,0.4034,0.578,0.2772
beng1280,nucl1310,1.0,0.6166,0.5331,0.3445,0.4589,0.0223
beng1280,stan1306,1.0,0.6906,0.6472,0.4034,0.5867,0.1075
beng1280,dutc1256,0.9196,0.5913,0.5496,0.3789,0.5193,0.2898
beng1280,nyan1308,1.0,0.7485,0.6237,0.4078,0.4928,0.2883
beng1280,east2652,1.0,0.5577,0.519,0.3931,0.5177,0.2138
beng1280,panj1256,0.6936,0.4948,0.4398,0.3021,0.3369,0.0644
beng1280,poli1260,0.8919,0.5641,0.5707,0.3548,0.5472,0.2584
beng1280,port1283,0.9273,0.6107,0.5668,0.3021,0.4991,0.3215
beng1280,roma1327,0.9147,0.6067,0.5432,0.3548,0.4997,0.2444
beng1280,russ1263,0.879,0.564,0.5798,0.4498,0.5962,0.1466
beng1280,shon1251,1.0,0.7067,0.635,0.439,0.5667,0.3021
beng1280,soma1255,1.0,0.5089,0.481,0.4078,0.4468,0.2074
beng1280,stan1288,0.9304,0.6089,0.5824,0.4835,0.5849,0.3158
beng1280,swah1253,1.0,0.6774,0.6246,0.4685,0.5509,0.2598
beng1280,swed1254,0.9014,0.608,0.566,0.4685,0.4906,0.2612
beng1280,tami1289,1.0,0.5401,0.4885,0.3548,0.4661,0.0781
beng1280,telu1262,1.0,0.4976,0.4134,0.3064,0.3198,0.0594
beng1280,taji1245,0.8378,0.6434,0.6078,0.4544,0.5641,0.1061
beng1280,taga1270,1.0,0.6452,0.5698,0.439,0.461,0.1414
beng1280,thai1261,1.0,0.6543,0.5628,0.3548,0.4147,0.0641
beng1280,tigr1271,1.0,0.5353,0.5271,0.4246,0.5877,0.2131
beng1280,turk1304,1.0,0.5639,0.5044,0.3064,0.4594,0.1323
beng1280,nucl1301,1.0,0.5933,0.5564,0.4835,0.5667,0.2193
beng1280,ukra1253,0.8919,0.5846,0.5524,0.4034,0.5256,0.244
beng1280,uigh1240,1.0,0.5743,0.5255,0.5273,0.529,0.097
beng1280,uzbe1247,1.0,0.5459,0.5174,0.3931,0.5491,0.1101
beng1280,viet1252,1.0,0.7076,0.6034,0.2914,0.499,0.0755
beng1280,xhos1239,1.0,0.7105,0.6235,0.3445,0.5552,0.334
beng1280,yoru1245,1.0,0.7287,0.6124,0.359,0.4464,0.344
beng1280,zulu1248,1.0,0.6636,0.612,0.4513,0.5757,0.3143
java1254,amha1245,1.0,0.7086,0.6179,0.4878,0.4308,0.3024
java1254,stan1318,1.0,0.6721,0.6384,0.3862,0.4878,0.2962
java1254,nort2697,1.0,0.6816,0.6293,0.427,0.5511,0.3007
java1254,beng1280,1.0,0.6502,0.5786,0.5114,0.4621,0.1428
java1254,stan1289,1.0,0.567,0.5382,0.3729,0.3445,0.4048
java1254,cebu1242,0.631,0.5242,0.4745,0.2617,0.4751,0.0735
java1254,cent1972,1.0,0.853,0.8793,0.8136,0.8456,0.297
java1254,stan1295,1.0,0.5768,0.534,0.439,0.453,0.3832
java1254,west2369,1.0,0.6092,0.5778,0.5114,0.4813,0.2608
java1254,stan1290,1.0,0.5999,0.5702,0.4161,0.4554,0.4037
java1254,haus1257,1.0,0.4728,0.5326,0.5319,0.5347,0.4007
java1254,hind1269,1.0,0.6945,0.5937,0.4867,0.4314,0.184
java1254,hung1274,1.0,0.6311,0.5766,0.3729,0.437,0.3685
java1254,ilok1237,0.5319,0.5713,0.5116,0.3277,0.4208,0.0876
java1254,indo1316,0.6854,0.2972,0.3436,0.3729,0.3606,0.0314
java1254,ital1282,1.0,0.6048,0.5831,0.427,0.4456,0.3844
java1254,kaza1248,1.0,0.8499,0.7164,0.6545,0.5741,0.2533
java1254,kiny1244,1.0,0.6287,0.5921,0.6502,0.5009,0.3352
java1254,kirg1245,1.0,0.7273,0.6279,0.439,0.5172,0.2347
java1254,kurd1259,1.0,0.7258,0.6298,0.4646,0.5172,0.297
java1254,laoo1244,1.0,0.4326,0.4427,0.3729,0.4208,0.0808
java1254,mara1378,1.0,0.7042,0.6148,0.3862,0.409,0.1707
java1254,malt1254,1.0,0.6149,0.6042,0.5096,0.46,0.3817
java1254,nucl1310,1.0,0.6793,0.5881,0.439,0.4176,0.1218
java1254,stan1306,0.6854,0.4581,0.4556,0.427,0.4333,0.0452
java1254,dutc1256,1.0,0.6055,0.5637,0.3881,0.4485,0.3957
java1254,nyan1308,1.0,0.5879,0.5359,0.5295,0.4259,0.3252
java1254,east2652,1.0,0.7151,0.6068,0.5574,0.3871,0.2948
java1254,panj1256,1.0,0.662,0.5783,0.409,0.3915,0.1999
java1254,poli1260,1.0,0.6077,0.5886,0.3729,0.4931,0.3704
java1254,port1283,1.0,0.5427,0.5375,0.409,0.4213,0.4198
java1254,roma1327,1.0,0.5598,0.5309,0.4601,0.4611,0.3583
java1254,russ1263,1.0,0.6614,0.6442,0.4788,0.5242,0.27
java1254,shon1251,1.0,0.6265,0.595,0.6035,0.501,0.3356
java1254,soma1255,1.0,0.5849,0.5647,0.5499,0.4438,0.2803
java1254,stan1288,1.0,0.5616,0.5671,0.5096,0.5324,0.4149
java1254,swah1253,1.0,0.5993,0.5559,0.4878,0.4456,0.3077
