Source lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
basq1248,slov1269,0.9766,0.7323,0.7098,0.5641,0.6611,0.0679
basq1248,nucl1310,0.9724,0.6713,0.6358,0.5114,0.5585,0.33
basq1248,kore1280,0.9896,0.6142,0.6278,0.6502,0.6476,0.3552
basq1248,lith1251,0.9819,0.5708,0.5529,0.2677,0.5219,0.0916
basq1248,stan1318,0.9744,0.6695,0.613,0.3862,0.5213,0.1744
basq1248,czec1258,0.9744,0.6189,0.5794,0.2677,0.4738,0.0596
basq1248,espe1235,0.9896,0.7209,0.6487,0.4467,0.5581,0.0307
basq1248,finn1318,0.9819,0.6411,0.5887,0.3729,0.5617,0.1185
basq1248,alba1267,0.9896,0.5863,0.5537,0.409,0.4873,0.0724
basq1248,viet1252,0.9819,0.6819,0.6486,0.4646,0.5677,0.3642
basq1248,stan1290,0.9638,0.624,0.6055,0.3333,0.5662,0.0242
basq1248,esto1258,0.0,0.656,0.5838,0.3277,0.4878,0.1027
basq1248,mace1250,0.9744,0.5498,0.5354,0.2677,0.4345,0.0778
basq1248,bosn1245,0.9724,0.6281,0.6243,0.5,0.5734,0.0632
basq1248,swed1254,0.9744,0.645,0.6501,0.409,0.6202,0.0911
basq1248,poli1260,0.9766,0.5742,0.5667,0.3729,0.5285,0.0724
basq1248,west2369,0.9724,0.6107,0.5659,0.2468,0.4935,0.2068
basq1248,kurd1259,0.9744,0.6438,0.6028,0.3881,0.5473,0.1633
basq1248,hung1274,0.9896,0.5763,0.5715,0.3729,0.5484,0.0693
basq1248,slov1268,0.9766,0.5883,0.5748,0.2677,0.5136,0.0539
basq1248,roma1327,0.9705,0.6221,0.565,0.2617,0.4935,0.0832
basq1248,russ1263,0.9791,0.6085,0.5892,0.2677,0.5256,0.2092
basq1248,serb1264,0.9724,0.5525,0.5318,0.3277,0.5127,0.0763
basq1248,tami1289,0.967,0.6312,0.5921,0.4601,0.527,0.3163
basq1248,kaza1248,0.9744,0.7674,0.7223,0.6545,0.601,0.211
basq1248,mara1378,0.9744,0.6107,0.5893,0.3862,0.553,0.293
basq1248,ukra1253,0.9766,0.5851,0.5735,0.3277,0.5489,0.0842
basq1248,thai1261,0.967,0.6712,0.6501,0.5354,0.5789,0.3606
basq1248,bela1254,0.9791,0.5604,0.5483,0.2677,0.473,0.0924
basq1248,nucl1301,0.9744,0.6424,0.5872,0.3277,0.5079,0.1158
basq1248,nort2697,0.9744,0.6127,0.5904,0.3277,0.5677,0.1567
basq1248,stan1295,0.9744,0.6042,0.584,0.2468,0.5864,0.0502
basq1248,bulg1262,0.9744,0.5713,0.5612,0.2677,0.5734,0.0868
basq1248,norw1259,0.0,0.6428,0.6149,0.4878,0.5961,0.0846
basq1248,nucl1302,0.9819,0.5281,0.5226,0.2952,0.5337,0.1571
basq1248,dani1285,0.9744,0.6227,0.5864,0.3729,0.4914,0.0616
basq1248,nucl1235,0.9819,0.5585,0.5244,0.1789,0.4592,0.1536
basq1248,mand1415,0.9791,0.6096,0.6147,0.439,0.5585,0.3296
basq1248,indo1316,0.9705,0.6282,0.5796,0.4601,0.4914,0.4239
basq1248,gali1258,0.9654,0.5515,0.5704,0.409,0.5354,0.0215
basq1248,port1283,0.9654,0.5624,0.5769,0.409,0.5281,0.0113
basq1248,urdu1245,0.9724,0.5581,0.5725,0.4878,0.5662,0.2497
basq1248,ital1282,0.9687,0.5654,0.572,0.3277,0.5276,0.0466
basq1248,stan1288,0.9638,0.5903,0.5687,0.427,0.5114,0.013
basq1248,mode1248,0.9766,0.5575,0.5715,0.3277,0.5398,0.0871
basq1248,beng1280,0.9724,0.6053,0.5757,0.439,0.5362,0.313
basq1248,nucl1643,0.9819,0.6138,0.5955,0.4601,0.5421,0.3716
basq1248,stan1306,0.9705,0.6972,0.6301,0.3277,0.4914,0.3872
basq1248,dutc1256,0.9687,0.6223,0.5999,0.3881,0.5613,0.0444
basq1248,croa1245,0.9724,0.63,0.5651,0.3333,0.439,0.0599
basq1248,hebr1245,0.9724,0.6066,0.6111,0.3277,0.6326,0.1397
basq1248,mong1331,0.9791,0.644,0.6066,0.3862,0.5884,0.2908
basq1248,hind1269,0.9724,0.5318,0.5325,0.3333,0.5056,0.2772
slov1269,basq1248,0.9766,0.7323,0.7098,0.5641,0.6611,0.0679
slov1269,nucl1310,1.0,0.7396,0.7058,0.5212,0.6306,0.277
slov1269,kore1280,1.0,0.7323,0.7119,0.5859,0.6792,0.3089
slov1269,lith1251,0.6545,0.7341,0.7009,0.6082,0.6566,0.0337
slov1269,stan1318,1.0,0.7624,0.7326,0.6082,0.7332,0.1272
slov1269,czec1258,0.2677,0.7546,0.72,0.6082,0.6839,0.0126
slov1269,espe1235,1.0,0.8274,0.8074,0.6791,0.7663,0.0481
slov1269,finn1318,1.0,0.7605,0.7242,0.5641,0.6566,0.0757
slov1269,alba1267,0.7048,0.7664,0.7284,0.5426,0.6522,0.0291
slov1269,viet1252,1.0,0.7829,0.7337,0.5,0.5931,0.314
