Task lang,Aux lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
nige1257,russ1264,1.0,0.8064,0.7338,0.4435,0.413,0.3632
nige1257,nort2641,0.9273,0.8169,0.7373,0.4587,0.521,0.1959
nige1257,uppe1395,0.9139,0.554,0.587,0.4574,0.6655,0.1878
nige1257,kaza1248,1.0,0.8948,0.7943,0.6351,0.5078,0.2679
nige1257,nucl1235,0.8886,0.7558,0.7196,0.5303,0.498,0.2074
nige1257,swed1236,1.0,0.554,0.587,0.4574,0.6655,0.2192
nige1257,lith1251,0.8886,0.7524,0.7206,0.4435,0.5146,0.2112
nige1257,bela1254,0.9037,0.7301,0.6954,0.4435,0.409,0.2061
nige1257,mara1378,0.9214,0.7974,0.738,0.4435,0.4871,0.2974
nige1257,copt1239,1.0,0.7789,0.7151,0.4435,0.4249,0.1439
nige1257,tami1289,1.0,0.8296,0.7507,0.4404,0.5003,0.3076
nige1257,iris1253,0.9273,0.7515,0.7073,0.3945,0.5183,0.1968
nige1257,hung1274,1.0,0.7169,0.6769,0.4404,0.4335,0.1755
nige1257,telu1262,1.0,0.8087,0.7382,0.405,0.4862,0.305
nige1257,afri1274,0.6987,0.6029,0.5679,0.3195,0.4033,0.1797
nige1257,viet1252,1.0,0.7708,0.7185,0.4587,0.5088,0.3911
nige1257,uigh1240,1.0,0.8186,0.7309,0.4435,0.4296,0.3064
nige1257,mode1248,0.9139,0.6808,0.6703,0.4779,0.5096,0.1664
nige1257,nort2671,1.0,0.7429,0.7119,0.5187,0.5071,0.2592
nige1257,gali1258,0.942,0.6988,0.6636,0.402,0.3887,0.1529
nige1257,serb1264,0.9273,0.7248,0.6667,0.405,0.3634,0.1687
nige1257,goth1244,0.7196,0.7513,0.6872,0.405,0.3808,0.191
nige1257,nucl1301,1.0,0.7698,0.7196,0.4779,0.5199,0.1755
nige1257,mand1415,1.0,0.7569,0.7211,0.4947,0.5884,0.3955
nige1257,urdu1245,0.9273,0.7618,0.7149,0.4697,0.5421,0.2634
nige1257,chur1257,0.9139,0.554,0.587,0.4574,0.6655,0.1679
nige1257,swed1254,0.7592,0.6974,0.6793,0.4697,0.5065,0.2233
nige1257,dani1285,0.7592,0.6893,0.646,0.3649,0.3529,0.2
nige1257,indo1316,1.0,0.7471,0.686,0.4404,0.3821,0.4132
nige1257,ukra1253,0.9139,0.7148,0.6736,0.405,0.3982,0.1863
nige1257,west2369,0.9273,0.7631,0.713,0.4947,0.4629,0.2239
nige1257,hebr1245,1.0,0.7145,0.7118,0.5427,0.562,0.1595
nige1257,basq1248,0.9654,0.7651,0.7351,0.5062,0.549,0.152
nige1257,latv1249,0.8886,0.7278,0.691,0.405,0.3928,0.2177
nige1257,slov1268,0.9139,0.7111,0.6817,0.4435,0.4353,0.1679
nige1257,croa1245,0.9273,0.7665,0.7086,0.4813,0.4801,0.1657
nige1257,roma1327,0.932,0.7095,0.656,0.4404,0.3611,0.1797
nige1257,slov1269,0.9139,0.554,0.587,0.4574,0.6655,0.1808
nige1257,bulg1262,0.9214,0.7101,0.6824,0.4435,0.5282,0.1703
nige1257,port1283,0.942,0.6875,0.6481,0.3224,0.3617,0.1487
nige1257,dutc1256,0.7366,0.7039,0.6668,0.4587,0.4382,0.1875
nige1257,stan1293,0.2804,0.6611,0.6422,0.402,0.492,0.1925
nige1257,ital1282,0.9359,0.7005,0.6602,0.405,0.3392,0.153
nige1257,stan1289,0.9392,0.7006,0.6547,0.3649,0.3561,0.1447
nige1257,hind1269,0.9273,0.748,0.7089,0.422,0.5146,0.2973
nige1257,poli1260,0.9139,0.7431,0.7059,0.3649,0.4774,0.1935
nige1257,stan1295,0.6723,0.6873,0.6596,0.4947,0.4663,0.176
nige1257,oldf1239,0.9445,0.7434,0.6904,0.4813,0.4135,0.1624
nige1257,stan1288,0.9445,0.7024,0.6835,0.4779,0.5268,0.1399
nige1257,stan1290,0.9445,0.7124,0.6768,0.422,0.4454,0.1708
nige1257,finn1318,1.0,0.7251,0.6863,0.4404,0.4713,0.2471
nige1257,anci1242,0.9037,0.73,0.689,0.4404,0.3952,0.1523
nige1257,norw1258,0.7349,0.681,0.6805,0.4697,0.5904,0.221
nige1257,stan1318,1.0,0.7662,0.7232,0.4435,0.429,0.1837
nige1257,lati1261,0.9139,0.7554,0.7024,0.4404,0.3952,0.148
nige1257,esto1258,0.9654,0.714,0.6663,0.405,0.3952,0.2275
nige1257,kore1280,1.0,0.7868,0.7464,0.6022,0.5422,0.4217
nige1257,nucl1643,1.0,0.8268,0.7578,0.5062,0.4713,0.4375
nige1257,russ1263,0.9037,0.7282,0.7113,0.4435,0.4949,0.2938
nige1257,czec1258,0.9214,0.7498,0.7118,0.4435,0.4653,0.1828
amha1245,russ1264,1.0,0.5272,0.5004,0.4208,0.4717,0.2807
amha1245,nort2641,1.0,0.6143,0.5332,0.4225,0.436,0.1151
amha1245,uppe1395,1.0,0.7433,0.7078,0.5426,0.6655,0.1964
amha1245,kaza1248,1.0,0.7342,0.7056,0.6695,0.5673,0.1686
amha1245,nucl1235,1.0,0.504,0.4836,0.3578,0.4249,0.1292
amha1245,swed1236,1.0,0.7433,0.7078,0.5426,0.6655,0.2205
amha1245,lith1251,1.0,0.5501,0.5082,0.319,0.4713,0.1991
amha1245,bela1254,1.0,0.5611,0.5298,0.319,0.3787,0.1902
amha1245,mara1378,1.0,0.5925,0.5445,0.319,0.466,0.1621
amha1245,copt1239,0.8278,0.6339,0.5868,0.4208,0.498,0.0881
amha1245,tami1289,1.0,0.5666,0.5291,0.409,0.4801,0.1713
amha1245,iris1253,1.0,0.6143,0.5762,0.4225,0.4993,0.2423
amha1245,hung1274,1.0,0.5665,0.5009,0.3141,0.4091,0.1734
amha1245,telu1262,1.0,0.555,0.5335,0.3695,0.5211,0.1701
amha1245,afri1274,1.0,0.7133,0.6534,0.4225,0.5145,0.1562
amha1245,viet1252,1.0,0.7699,0.6868,0.4918,0.5268,0.2769
amha1245,uigh1240,1.0,0.5724,0.5166,0.4208,0.4898,0.2069
amha1245,mode1248,1.0,0.5768,0.5544,0.3695,0.5329,0.1486
amha1245,nort2671,1.0,0.6384,0.5687,0.4259,0.5071,0.2511
amha1245,gali1258,1.0,0.5609,0.5383,0.3578,0.4394,0.2226
amha1245,serb1264,1.0,0.5948,0.5091,0.2566,0.3634,0.1605
amha1245,goth1244,1.0,0.6312,0.5678,0.3695,0.4431,0.1613
amha1245,nucl1301,1.0,0.5392,0.5063,0.3695,0.4801,0.1295
amha1245,mand1415,1.0,0.6022,0.6277,0.535,0.5704,0.3044
amha1245,urdu1245,1.0,0.6027,0.5813,0.5132,0.5599,0.1312
amha1245,chur1257,1.0,0.7433,0.7078,0.5426,0.6655,0.1569
amha1245,swed1254,1.0,0.5977,0.5893,0.4413,0.5805,0.2223
amha1245,dani1285,1.0,0.5838,0.5518,0.409,0.3821,0.2157
amha1245,indo1316,1.0,0.7032,0.5828,0.409,0.2867,0.3041
amha1245,ukra1253,1.0,0.5977,0.5223,0.2566,0.4249,0.1717
amha1245,west2369,1.0,0.5925,0.5151,0.3931,0.3887,0.1013
amha1245,hebr1245,0.718,0.6097,0.5878,0.5335,0.5844,0.0901
amha1245,basq1248,0.9724,0.5644,0.5409,0.409,0.4856,0.2079
amha1245,latv1249,1.0,0.5471,0.4861,0.3695,0.3283,0.2052
amha1245,slov1268,1.0,0.6007,0.5409,0.319,0.4094,0.1794
amha1245,croa1245,1.0,0.6536,0.5617,0.3743,0.3733,0.1722
amha1245,roma1327,1.0,0.6046,0.505,0.3141,0.2991,0.1651
amha1245,slov1269,1.0,0.7433,0.7078,0.5426,0.6655,0.1806
amha1245,bulg1262,1.0,0.5748,0.5532,0.319,0.5282,0.1523
amha1245,port1283,1.0,0.5517,0.5243,0.3578,0.436,0.2132
amha1245,dutc1256,1.0,0.5947,0.5687,0.4225,0.5183,0.2147
amha1245,stan1293,1.0,0.6696,0.6125,0.3578,0.492,0.2286
amha1245,ital1282,1.0,0.5548,0.5282,0.2566,0.4249,0.1736
amha1245,stan1289,1.0,0.584,0.5297,0.3141,0.3561,0.1928
amha1245,hind1269,1.0,0.6048,0.5652,0.4477,0.498,0.1682
amha1245,poli1260,1.0,0.6296,0.5699,0.3141,0.4542,0.1925
amha1245,stan1295,1.0,0.5743,0.5554,0.4685,0.5258,0.1913
amha1245,oldf1239,1.0,0.5908,0.5407,0.3743,0.4135,0.2056
amha1245,stan1288,1.0,0.6056,0.5374,0.3695,0.4554,0.2018
amha1245,stan1290,1.0,0.6173,0.5742,0.4477,0.5052,0.2104
amha1245,finn1318,1.0,0.6359,0.5535,0.409,0.4713,0.2346
amha1245,anci1242,1.0,0.568,0.521,0.3141,0.3634,0.1442
amha1245,norw1258,1.0,0.5856,0.576,0.5132,0.5568,0.231
amha1245,stan1318,0.6936,0.6657,0.5433,0.319,0.3973,0.0763
amha1245,lati1261,1.0,0.6252,0.5634,0.409,0.3952,0.1706
amha1245,esto1258,0.9724,0.6293,0.534,0.3695,0.3952,0.2149
amha1245,kore1280,1.0,0.5858,0.5642,0.5335,0.5204,0.3372
amha1245,nucl1643,1.0,0.5393,0.5409,0.5574,0.4933,0.3571
amha1245,russ1263,1.0,0.6111,0.5669,0.319,0.4949,0.2171
amha1245,czec1258,1.0,0.5668,0.5274,0.319,0.4653,0.1908
thai1261,russ1264,1.0,0.745,0.6515,0.3862,0.4302,0.1644
thai1261,nort2641,1.0,0.7115,0.626,0.4646,0.5168,0.242
thai1261,uppe1395,1.0,0.7684,0.7402,0.5641,0.6435,0.3198
thai1261,kaza1248,1.0,0.8807,0.7104,0.5533,0.5416,0.1814
thai1261,nucl1235,1.0,0.6577,0.6441,0.5574,0.5531,0.238
thai1261,swed1236,1.0,0.7684,0.7402,0.5641,0.6435,0.3142
thai1261,lith1251,1.0,0.7006,0.6506,0.4788,0.4887,0.299
thai1261,bela1254,1.0,0.6795,0.6354,0.4788,0.4544,0.2951
thai1261,mara1378,1.0,0.7285,0.6285,0.3862,0.3767,0.1056
thai1261,copt1239,1.0,0.6293,0.5689,0.3862,0.4683,0.2787
thai1261,tami1289,1.0,0.8187,0.6782,0.3729,0.4792,0.0981
thai1261,iris1253,1.0,0.6625,0.6068,0.3881,0.4984,0.362
thai1261,hung1274,1.0,0.68,0.6215,0.4601,0.4546,0.3089
thai1261,telu1262,1.0,0.7637,0.6321,0.3277,0.4364,0.0966
thai1261,afri1274,1.0,0.7506,0.6785,0.5319,0.4907,0.3246
thai1261,viet1252,1.0,0.498,0.4873,0.2952,0.4552,0.0329
thai1261,uigh1240,1.0,0.8434,0.6949,0.4788,0.4723,0.1541
thai1261,mode1248,1.0,0.6438,0.6374,0.5096,0.5433,0.2961
thai1261,nort2671,1.0,0.6728,0.6451,0.4934,0.5138,0.3056
thai1261,gali1258,1.0,0.6077,0.5867,0.409,0.4594,0.3753
thai1261,serb1264,1.0,0.5734,0.5415,0.427,0.4425,0.3037
thai1261,goth1244,1.0,0.5873,0.5358,0.3277,0.4302,0.2831
thai1261,nucl1301,1.0,0.6834,0.623,0.5096,0.4792,0.2736
thai1261,mand1415,1.0,0.5901,0.5833,0.439,0.5984,0.1314
thai1261,urdu1245,1.0,0.7046,0.6169,0.5574,0.4862,0.1495
thai1261,chur1257,1.0,0.7684,0.7402,0.5641,0.6435,0.3014
thai1261,swed1254,1.0,0.6308,0.5786,0.4878,0.4466,0.3118
thai1261,dani1285,1.0,0.6726,0.5984,0.3729,0.4313,0.3286
thai1261,indo1316,1.0,0.4237,0.4247,0.2617,0.4313,0.1055
thai1261,ukra1253,1.0,0.6195,0.5947,0.427,0.4683,0.2972
thai1261,west2369,1.0,0.6738,0.6244,0.5114,0.5016,0.1961
thai1261,hebr1245,1.0,0.5747,0.6084,0.5096,0.5482,0.2661
thai1261,basq1248,0.967,0.6712,0.6501,0.5354,0.5789,0.3606
thai1261,latv1249,1.0,0.7,0.6534,0.427,0.5126,0.2986
thai1261,slov1268,1.0,0.6447,0.6008,0.4788,0.4313,0.321
thai1261,croa1245,1.0,0.5821,0.5532,0.4407,0.5169,0.3164
thai1261,roma1327,1.0,0.5692,0.5453,0.4601,0.4594,0.2976
thai1261,slov1269,1.0,0.7684,0.7402,0.5641,0.6435,0.3107
thai1261,bulg1262,1.0,0.6144,0.5796,0.4788,0.5034,0.2956
thai1261,port1283,1.0,0.5774,0.555,0.409,0.4142,0.3683
thai1261,dutc1256,1.0,0.6569,0.5975,0.4646,0.4799,0.3392
thai1261,stan1293,1.0,0.6577,0.5978,0.409,0.4147,0.3501
thai1261,ital1282,1.0,0.6024,0.5958,0.427,0.4905,0.3277
thai1261,stan1289,1.0,0.5777,0.5503,0.3729,0.4095,0.3512
thai1261,hind1269,1.0,0.6984,0.6149,0.4867,0.4526,0.1117
thai1261,poli1260,1.0,0.6165,0.6048,0.3729,0.5145,0.3104
